Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
54	12	0	1.33332079	293.209457	293.207197	293.202298	293.209978	0.00655312923	0.000984656303	0	15	0.0928464	0	0	3
55	12	0	1.35801192	293.209277	293.207529	293.202744	293.209978	0.00676724206	0.000991368354	0	14.6	0.0901422	0	0	3
56	12	0	1.38270304	293.209068	293.20783	293.203405	293.209978	0.00657332287	0.000997185465	0	15.1	0.0899669	0	0	3
57	12	0	1.40739417	293.208788	293.208087	293.203875	293.209978	0.0061030539	0.00100227544	0	16.4	0.0900887	0	0	3
58	13	0	1.4320853	293.208418	293.208303	293.204691	293.209978	0.005287833	0.00100670827	0	19	0.0904476	0	0	3
59	13	0	1.45677642	293.208012	293.208461	293.205191	293.209978	0.00478775704	0.00101064856	0	21.1	0.091232	0	0	3
60	13	0	1.48146755	293.207579	293.208575	293.205468	293.209978	0.00451078202	0.00101402863	0	22.4	0.0921395	0	0	3
61	13	0	1.50615867	293.207183	293.208657	293.205918	293.209978	0.00406059985	0.00101687206	0	25	0.0932826	0	0	3
62	13	0	1.5308498	293.206907	293.208704	293.206782	293.209978	0.00319668174	0.00101934094	0	31.8	0.0944444	0	0	3
63	13	0	1.55554093	293.20664	293.208697	293.20664	293.209978	0.00333869997	0.00102158538	0	30.5	0.095591	0	0	3
64	14	0	1.58023205	293.206337	293.208643	293.206337	293.209978	0.00364186374	0.00102344519	0	28.1	0.133632	0	0	3
65	14	0	1.60492318	293.206413	293.208572	293.206337	293.209978	0.00364186374	0.00102489795	0	28.1	0.112021	0	0	3
66	14	0	1.6296143	293.206413	293.208475	293.206337	293.209978	0.00364186374	0.00102623449	0	28.1	0.630846	0	0	3
67	14	0	1.65430543	293.20634	293.208349	293.206337	293.209978	0.00364186374	0.00102694558	0	28.1	0.189719	0	0	3
68	14	0	1.67899655	293.206235	293.208197	293.206235	293.209978	0.0037434103	0.00102701595	0	27.4	0.134951	0	0	3
69	15	0	1.70368768	293.206161	293.208026	293.206161	293.209978	0.00352270778	0.00102647996	0	29.1	0.109128	0	0	3
70	15	0	1.72837881	293.20608	293.20784	293.20608	293.209977	0.00308607942	0.00102529054	0	33.2	0.0977382	0	0	3
71	15	0	1.75306993	293.20595	293.207648	293.20595	293.209959	0.00265895477	0.00102353031	0	38.4	0.0977139	0	0	3
72	15	0	1.77776106	293.205758	293.207448	293.205758	293.20981	0.00224734532	0.00102053541	0	45.4	0.0975545	0	0	3
73	15	0	1.80245218	293.205597	293.207248	293.205597	293.209588	0.00186433963	0.00101633706	0	54.5	0.0973843	0	0	3
74	16	0	1.82714331	293.205408	293.207049	293.205408	293.209457	0.00165522854	0.0010112212	0	61	0.097043	0	0	3
